Activities,Q3 2018,Q4 2018,Q1 2019
Tourism gross domestic product (GDP),"9,799","9,813","9,847"
Total tourism industries,"7,146","7,159","7,183"
Transportation,"2,461","2,440","2,450"
Accommodation,"1,979","2,000","2,016"
Food and beverage services,"1,458","1,462","1,457"
Other tourism industries,"1,248","1,257","1,260"
Other industries,"2,653","2,654","2,664"
,,,
Symbol legend:,,,
,,,
Footnotes:,,,
1,"Current dollar, seasonally adjusted series are no longer updated.",,
,,,
"How to cite: Statistics Canada. Table 36-10-0234-01 Tourism gross domestic product, constant prices (x 1,000,000)",,,
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610023401,,,
DOI:  https://doi.org/10.25318/3610023401-eng,,,
