"REF_DATE","GEO","DGUID","Building type","Construction type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-07","Six census metropolitan area composite","","Total, building type","Total, construction type","Index, 2017=100","373","units","0","v1073542616","1.1.1","104.2","","","","1"
"2019-10","Six census metropolitan area composite","","Total, building type","Total, construction type","Index, 2017=100","373","units","0","v1073542616","1.1.1","105.3","","","","1"
"2020-01","Six census metropolitan area composite","","Total, building type","Total, construction type","Index, 2017=100","373","units","0","v1073542616","1.1.1","107.5","","","","1"
"2020-04","Six census metropolitan area composite","","Total, building type","Total, construction type","Index, 2017=100","373","units","0","v1073542616","1.1.1","109.9","","","","1"
"2020-07","Six census metropolitan area composite","","Total, building type","Total, construction type","Index, 2017=100","373","units","0","v1073542616","1.1.1","111.5","","","","1"
"2019-07","Montréal, Quebec","2016S0503462","Total, building type","Total, construction type","Index, 2017=100","373","units","0","v1073542625","2.1.1","111.8","","","","1"
"2019-10","Montréal, Quebec","2016S0503462","Total, building type","Total, construction type","Index, 2017=100","373","units","0","v1073542625","2.1.1","112.8","","","","1"
"2020-01","Montréal, Quebec","2016S0503462","Total, building type","Total, construction type","Index, 2017=100","373","units","0","v1073542625","2.1.1","114.8","","","","1"
"2020-04","Montréal, Quebec","2016S0503462","Total, building type","Total, construction type","Index, 2017=100","373","units","0","v1073542625","2.1.1","117.9","","","","1"
"2020-07","Montréal, Quebec","2016S0503462","Total, building type","Total, construction type","Index, 2017=100","373","units","0","v1073542625","2.1.1","123.2","","","","1"
"2019-07","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","Total, building type","Total, construction type","Index, 2017=100","373","units","0","v1073542634","3.1.1","115.7","","","","1"
"2019-10","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","Total, building type","Total, construction type","Index, 2017=100","373","units","0","v1073542634","3.1.1","118.4","","","","1"
"2020-01","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","Total, building type","Total, construction type","Index, 2017=100","373","units","0","v1073542634","3.1.1","122.3","","","","1"
"2020-04","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","Total, building type","Total, construction type","Index, 2017=100","373","units","0","v1073542634","3.1.1","127.3","","","","1"
"2020-07","Ottawa-Gatineau, Ontario part, Ontario/Quebec","2016S050535505","Total, building type","Total, construction type","Index, 2017=100","373","units","0","v1073542634","3.1.1","132.9","","","","1"
"2019-07","Toronto, Ontario","2016S0503535","Total, building type","Total, construction type","Index, 2017=100","373","units","0","v1073542643","4.1.1","104.7","","","","1"
"2019-10","Toronto, Ontario","2016S0503535","Total, building type","Total, construction type","Index, 2017=100","373","units","0","v1073542643","4.1.1","106.5","","","","1"
"2020-01","Toronto, Ontario","2016S0503535","Total, building type","Total, construction type","Index, 2017=100","373","units","0","v1073542643","4.1.1","109.2","","","","1"
"2020-04","Toronto, Ontario","2016S0503535","Total, building type","Total, construction type","Index, 2017=100","373","units","0","v1073542643","4.1.1","113.2","","","","1"
"2020-07","Toronto, Ontario","2016S0503535","Total, building type","Total, construction type","Index, 2017=100","373","units","0","v1073542643","4.1.1","114.1","","","","1"
"2019-07","Calgary, Alberta","2016S0503825","Total, building type","Total, construction type","Index, 2017=100","373","units","0","v1073542652","5.1.1","96.3","","","","1"
"2019-10","Calgary, Alberta","2016S0503825","Total, building type","Total, construction type","Index, 2017=100","373","units","0","v1073542652","5.1.1","96.0","","","","1"
"2020-01","Calgary, Alberta","2016S0503825","Total, building type","Total, construction type","Index, 2017=100","373","units","0","v1073542652","5.1.1","94.4","","","","1"
"2020-04","Calgary, Alberta","2016S0503825","Total, building type","Total, construction type","Index, 2017=100","373","units","0","v1073542652","5.1.1","94.4","","","","1"
"2020-07","Calgary, Alberta","2016S0503825","Total, building type","Total, construction type","Index, 2017=100","373","units","0","v1073542652","5.1.1","94.1","","","","1"
"2019-07","Vancouver, British Columbia","2016S0503933","Total, building type","Total, construction type","Index, 2017=100","373","units","0","v1073542661","6.1.1","101.9","","","","1"
"2019-10","Vancouver, British Columbia","2016S0503933","Total, building type","Total, construction type","Index, 2017=100","373","units","0","v1073542661","6.1.1","102.1","","","","1"
"2020-01","Vancouver, British Columbia","2016S0503933","Total, building type","Total, construction type","Index, 2017=100","373","units","0","v1073542661","6.1.1","104.6","","","","1"
"2020-04","Vancouver, British Columbia","2016S0503933","Total, building type","Total, construction type","Index, 2017=100","373","units","0","v1073542661","6.1.1","104.7","","","","1"
"2020-07","Vancouver, British Columbia","2016S0503933","Total, building type","Total, construction type","Index, 2017=100","373","units","0","v1073542661","6.1.1","106.4","","","","1"
"2019-07","Victoria, British Columbia","2016S0503935","Total, building type","Total, construction type","Index, 2017=100","373","units","0","v1073542670","7.1.1","108.6","","","","1"
"2019-10","Victoria, British Columbia","2016S0503935","Total, building type","Total, construction type","Index, 2017=100","373","units","0","v1073542670","7.1.1","111.0","","","","1"
"2020-01","Victoria, British Columbia","2016S0503935","Total, building type","Total, construction type","Index, 2017=100","373","units","0","v1073542670","7.1.1","111.5","","","","1"
"2020-04","Victoria, British Columbia","2016S0503935","Total, building type","Total, construction type","Index, 2017=100","373","units","0","v1073542670","7.1.1","112.0","","","","1"
"2020-07","Victoria, British Columbia","2016S0503935","Total, building type","Total, construction type","Index, 2017=100","373","units","0","v1073542670","7.1.1","113.7","","","","1"


